title,worldwide_gross,domestic_gross,foreign_gross,widest_opening,rating,budget,month,year,adjust,tickets_sold,gross_adj,season
Iron Man (2008),585174222,318412101,266762121,4154,PG-13,1.40E+08,May,2008,7.18,44347089.28,399567274.4,Spring
Baby Mama (2008),64163648,60494212,3669436,2627,PG-13,3.00E+07,April,2008,7.18,8425377.716,75912653.22,Spring
The Forbidden Kingdom (2008),127980002,52075270,75904732,3151,PG-13,NA,April,2008,7.18,7252823.12,65347936.31,Spring
Prom Night (2008) (2008),57197876,43869350,13328526,2821,PG-13,2.00E+07,April,2008,7.18,6109937.326,55050535.31,Spring
21 (2008),157927340,81159365,76767975,2952,PG-13,3.50E+07,March,2008,7.18,11303532.73,101844829.9,Spring
Dr. Seuss' Horton Hears a Who! (2008),297138014,154529439,142608575,3961,G,8.50E+07,March,2008,7.18,21522205.99,193915076,Spring
"10,000 B.C. (2008)",269784201,94784201,1.75E+08,3454,PG-13,1.05E+08,March,2008,7.18,13201142.2,118942291.2,Spring
Semi-Pro (2008),43884904,33479698,10405206,3121,R,NA,February,2008,7.18,4662910.585,42012824.37,Winter
Vantage Point (2008),151161491,72266306,78895185,3163,PG-13,4.00E+07,February,2008,7.18,10064945.13,90685155.58,Winter
Jumper (2008),222231186,80172128,142059058,3430,PG-13,8.50E+07,February,2008,7.18,11166034.54,100605971.2,Winter
Fool's Gold (2008),111231041,70231041,4.10E+07,3125,PG-13,7.00E+07,February,2008,7.18,9781482.033,88131153.12,Winter
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour (2008),70642036,65281781,5360255,687,G,NA,February,2008,7.18,9092170.056,81920452.2,Winter
Rambo (2008),113244290,42754105,70490185,2764,R,5.00E+07,January,2008,7.18,5954610.724,53651042.63,Winter
Cloverfield (2008),170764026,80048433,90715593,3411,PG-13,2.50E+07,January,2008,7.18,11148806.82,100450749.5,Winter
The Bucket List (2007),175372502,93466502,81906000,NA,PG-13,4.50E+07,December,2007,6.88,13585247.38,122403078.9,Winter
Avatar (2009),2787965087,760507625,2027457462,3461,PG-13,2.37E+08,December,2009,7.5,101401016.7,913623160.2,Winter
The Princess and the Frog (2009),267045765,104400899,162644866,NA,G,1.05E+08,November,2009,7.5,13920119.87,125420280,Fall
The Blind Side (2009),309208309,255959475,53248834,3407,PG-13,2.90E+07,November,2009,7.5,34127930,307492649.3,Fall
The Twilight Saga: New Moon (2009),709711008,296623634,413087374,4124,PG-13,5.00E+07,November,2009,7.5,39549817.87,356343859,Fall
2012 (2009),769679473,166112167,603567306,3444,PG-13,2.00E+08,November,2009,7.5,22148288.93,199556083.3,Fall
A Christmas Carol (2009) (2009),325286646,137855863,187430783,3683,PG,2.00E+08,November,2009,7.5,18380781.73,165610843.4,Fall
Michael Jackson's This Is It (2009),261183588,72091016,189092572,3481,PG,NA,October,2009,7.5,9612135.467,86605340.55,Fall
